English,Maths,Science,SST,Hindi,GK,study_hours,distraction_time,sleep_time,grade,pass_fail
37,96,87,78,29,50,5.9,4.0,6.8,C,Fail
16,73,16,83,87,68,7.9,2.5,6.0,D,Fail
42,74,22,54,79,94,3.8,3.5,5.1,C,Fail
3,55,24,66,95,66,4.6,4.9,7.6,D,Fail
50,18,20,4,81,91,3.4,0.2,7.3,F,Fail
4,11,89,45,33,48,4.5,3.5,4.2,F,Fail
46,85,55,93,62,47,1.4,1.4,8.8,C,Pass
98,51,78,46,55,85,2.7,3.8,7.2,C,Pass
1,25,13,58,55,6,5.8,4.2,8.5,F,Fail
17,37,98,14,63,88,6.2,0.9,7.4,D,Fail
16,85,89,43,24,16,3.4,2.4,6.1,D,Fail
17,99,85,33,7,39,4.0,0.6,5.7,D,Fail
5,51,25,63,97,58,3.5,4.9,7.6,D,Fail
32,52,21,20,69,69,2.7,0.8,5.1,F,Fail
61,93,94,23,54,8,1.6,2.6,6.5,D,Fail
35,23,94,5,65,83,7.8,4.3,8.9,D,Fail
93,50,61,56,65,78,4.7,2.4,9.0,C,Pass
4,69,25,67,18,83,4.6,1.2,4.7,F,Fail
89,13,63,37,36,10,7.5,1.6,7.6,F,Fail
5,49,9,4,22,9,7.9,1.6,8.9,F,Fail
64,62,100,72,16,8,5.2,2.4,6.5,D,Fail
93,94,48,68,61,59,7.8,0.6,8.4,C,Pass
8,33,75,98,34,0,6.2,2.9,9.1,F,Fail
71,10,100,13,59,29,6.8,0.9,5.4,D,Fail
77,25,61,3,88,41,3.7,4.1,6.6,D,Fail
13,31,50,37,96,22,4.1,2.9,6.1,F,Fail
65,77,52,50,38,50,4.0,1.7,8.4,D,Pass
41,63,14,28,32,93,7.3,3.9,4.9,D,Fail
96,100,26,54,32,67,5.0,3.8,9.3,C,Fail
96,37,12,30,46,99,4.2,3.0,7.0,D,Fail
7,4,28,46,67,75,6.4,0.1,7.6,F,Fail
35,35,25,42,26,68,6.8,4.8,6.1,F,Fail
5,71,22,46,89,45,5.3,4.6,4.8,D,Fail
81,88,96,59,42,75,1.7,4.6,8.7,C,Pass
36,71,91,30,8,50,6.2,4.7,9.6,D,Fail
22,0,45,100,20,89,6.9,0.6,9.5,D,Fail
62,53,54,39,14,20,3.7,3.7,5.2,F,Fail
56,25,40,34,62,24,7.0,4.6,6.8,F,Fail
90,33,90,16,42,58,4.2,0.7,5.1,D,Fail
70,51,69,87,32,48,6.5,1.4,5.3,D,Fail
84,48,70,80,83,48,4.9,4.3,7.2,C,Pass
48,70,0,95,12,93,6.2,1.0,9.4,D,Fail
31,29,28,48,44,92,4.3,2.8,4.4,D,Fail
77,46,65,91,93,37,6.4,0.5,6.0,C,Pass
54,2,31,9,73,82,5.5,2.0,4.2,F,Fail
91,31,49,6,92,7,1.2,1.1,5.4,D,Fail
58,71,53,100,66,50,5.6,1.2,4.6,C,Pass
95,87,77,31,45,15,3.8,3.3,5.2,D,Fail
94,54,47,81,6,73,1.6,1.0,4.2,D,Fail
18,35,28,59,81,1,7.4,3.1,6.0,F,Fail
1,66,86,11,19,4,3.4,3.9,6.2,F,Fail
52,43,98,85,23,80,7.1,2.4,9.4,C,Fail
95,80,80,13,8,39,5.9,2.0,5.3,D,Fail
21,3,25,57,28,97,2.9,0.1,9.5,F,Fail
84,41,99,40,37,33,4.9,3.3,9.0,D,Pass
86,85,84,26,56,30,7.1,3.0,7.6,C,Fail
52,70,9,44,16,25,3.8,3.9,6.5,F,Fail
1,53,64,50,52,35,6.4,0.3,9.0,F,Fail
10,35,58,38,98,53,4.3,3.3,9.6,D,Fail
68,55,32,35,19,82,5.2,0.3,7.0,D,Fail
97,72,25,65,72,72,3.5,2.1,8.2,C,Fail
41,24,38,34,2,100,1.0,4.8,4.0,F,Fail
11,18,100,43,58,48,2.0,4.8,6.7,D,Fail
46,11,61,79,87,82,6.1,4.0,8.0,C,Fail
79,69,71,24,81,88,5.5,3.5,4.3,C,Fail
25,46,31,9,15,70,8.0,2.8,6.8,F,Fail
6,13,78,6,8,47,1.8,2.1,8.8,F,Fail
94,93,38,98,17,58,6.8,0.2,7.6,C,Fail
98,59,44,97,2,36,4.7,2.2,6.4,D,Fail
38,14,3,92,85,24,6.2,2.6,6.6,F,Fail
65,54,98,41,33,29,1.0,0.9,6.3,D,Fail
95,98,38,45,28,61,1.6,0.2,6.9,C,Fail
15,55,9,29,24,83,6.2,1.2,4.7,F,Fail
13,29,67,17,61,36,1.3,0.1,9.9,F,Fail
72,14,48,87,67,11,7.7,4.0,5.6,D,Fail
69,38,55,62,45,87,4.3,3.1,5.0,D,Pass
51,3,58,71,19,92,5.5,3.0,7.1,D,Fail
73,97,56,89,40,2,6.8,4.0,7.8,D,Fail
86,48,8,98,19,60,2.8,2.6,6.9,D,Fail
16,87,2,31,98,12,2.6,2.7,7.6,F,Fail
13,100,97,10,55,66,2.9,2.4,4.3,D,Fail
97,75,41,8,78,39,7.5,3.7,5.7,D,Fail
78,37,71,4,47,89,4.7,4.8,4.7,D,Fail
27,68,76,80,39,44,4.4,3.0,8.9,D,Fail
55,39,97,39,90,76,2.9,4.4,8.8,C,Pass
39,91,96,58,58,47,6.0,4.2,8.2,C,Pass
41,99,62,26,37,59,2.1,4.4,9.2,D,Fail
30,22,41,9,31,52,6.2,0.8,8.9,F,Fail
77,76,92,11,38,65,3.0,3.1,9.9,D,Fail
16,94,97,59,63,87,6.7,0.6,5.7,C,Fail
70,73,95,97,62,27,5.4,4.7,4.6,C,Fail
67,19,95,99,67,90,2.2,3.9,8.3,C,Fail
64,21,89,81,49,13,7.8,4.8,8.5,D,Fail
98,51,75,6,28,10,6.8,1.9,8.9,F,Fail
74,57,86,25,97,45,4.3,4.7,4.6,C,Fail
38,14,28,28,74,31,1.6,3.4,7.9,F,Fail
26,66,80,55,91,92,7.6,2.1,7.8,C,Fail
5,18,56,68,2,0,3.2,3.6,8.5,F,Fail
34,63,24,23,11,17,7.1,2.4,9.8,F,Fail
45,88,16,92,52,7,6.4,4.2,8.6,D,Fail
2,92,63,43,52,23,7.4,3.1,8.8,D,Fail
24,93,77,70,16,83,4.0,1.0,6.9,C,Fail
62,85,1,87,71,10,7.9,0.7,6.8,D,Fail
93,63,81,94,37,31,5.6,3.8,9.7,C,Fail
40,7,10,85,50,87,2.0,0.5,7.4,D,Fail
78,79,53,85,91,19,3.4,3.9,9.6,C,Fail
96,1,96,32,76,29,1.2,0.4,6.4,D,Fail
65,37,89,45,14,97,1.3,3.4,9.7,D,Fail
60,66,5,8,5,72,1.4,2.7,8.3,F,Fail
7,71,49,91,61,83,3.4,4.1,4.5,C,Fail
83,79,3,5,57,21,4.2,3.2,7.2,F,Fail
13,74,81,11,86,11,2.1,4.4,5.3,D,Fail
54,99,44,7,92,52,5.6,2.5,7.3,D,Fail
17,82,21,36,95,55,7.8,3.3,5.2,D,Fail
34,60,92,53,62,78,2.8,2.3,9.2,C,Pass
30,57,60,23,19,36,3.4,1.9,9.9,F,Fail
23,49,48,50,95,35,1.2,2.0,7.6,D,Fail
78,33,35,5,38,41,7.9,1.4,6.2,F,Fail
2,17,39,20,14,96,1.9,3.6,9.5,F,Fail
86,41,43,13,77,1,2.3,4.3,7.0,F,Fail
61,59,13,88,83,1,1.7,3.3,5.9,D,Fail
27,65,34,100,4,64,6.4,0.7,9.8,D,Fail
46,30,10,9,66,13,3.3,2.2,8.0,F,Fail
0,4,19,7,42,75,5.9,0.8,5.0,F,Fail
36,46,100,75,36,48,6.9,4.0,7.5,D,Pass
78,5,60,19,77,1,1.9,1.2,4.3,F,Fail
0,34,69,100,58,68,1.7,2.9,8.1,D,Fail
19,52,87,42,97,88,5.5,4.3,6.7,C,Fail
42,49,22,43,37,83,1.9,0.7,4.9,D,Fail
49,7,84,0,7,28,4.1,4.3,5.1,F,Fail
33,64,54,89,42,73,1.1,1.2,9.0,D,Pass
46,75,90,71,88,45,7.4,3.0,9.6,C,Pass
13,52,47,68,89,61,5.6,5.0,4.3,D,Fail
72,32,40,88,47,12,6.5,2.8,8.4,D,Fail
67,97,3,18,69,97,6.3,4.0,6.6,D,Fail
74,0,87,53,70,88,3.3,3.2,7.7,C,Fail
14,20,18,59,92,88,5.2,2.7,6.7,D,Fail
89,10,98,71,77,73,6.3,2.5,7.3,C,Fail
71,47,65,69,27,92,3.4,1.9,6.4,C,Fail
36,78,43,99,14,42,6.4,4.1,8.3,D,Fail
42,20,22,79,46,14,2.7,4.6,4.4,F,Fail
20,12,85,18,33,77,4.4,1.3,5.7,F,Fail
26,28,27,34,7,15,1.6,3.6,6.4,F,Fail
76,3,89,88,93,74,1.9,4.3,8.8,C,Fail
30,70,62,55,41,60,2.8,4.8,6.9,D,Fail
6,53,0,43,44,46,7.7,3.0,8.9,F,Fail
85,91,8,25,8,14,5.3,2.1,9.0,F,Fail
71,23,79,48,25,90,6.5,1.4,8.9,D,Fail
59,38,73,88,17,18,5.4,2.3,7.5,D,Fail
46,48,98,97,32,20,1.7,0.1,7.9,D,Fail
91,70,31,10,9,72,3.7,3.0,7.0,D,Fail
1,63,34,6,84,17,3.8,2.1,8.3,F,Fail
74,23,59,45,18,67,6.1,2.9,5.6,D,Fail
35,100,96,35,2,72,3.3,1.1,6.1,D,Fail
67,12,48,59,1,59,6.6,1.2,7.2,F,Fail
71,49,66,43,57,2,2.3,0.3,6.3,D,Fail
80,34,97,86,29,7,5.1,0.4,9.8,D,Fail
92,30,46,54,79,61,4.0,4.1,4.0,C,Fail
15,11,7,83,2,15,3.7,0.6,9.8,F,Fail
4,83,64,29,20,83,5.4,0.4,8.5,D,Fail
32,15,75,37,97,13,1.8,1.1,6.1,F,Fail
84,1,90,72,64,74,6.8,1.4,9.7,C,Fail
81,54,5,34,21,42,5.0,2.8,6.3,F,Fail
11,48,41,37,81,44,3.7,4.4,9.2,F,Fail
5,66,79,6,51,13,1.6,2.0,5.0,F,Fail
1,34,81,77,19,81,5.5,4.1,4.8,D,Fail
53,32,35,94,13,64,5.2,3.8,5.0,D,Fail
2,98,40,5,24,12,3.6,0.3,4.2,F,Fail
24,78,67,44,59,11,7.8,2.2,5.9,D,Fail
77,19,17,92,59,62,5.5,1.1,7.7,D,Fail
59,22,82,30,4,82,2.3,1.1,6.9,D,Fail
49,30,55,78,72,86,2.7,0.7,4.7,C,Fail
61,6,79,15,96,3,5.4,1.1,5.4,F,Fail
51,92,51,35,37,49,1.9,4.4,6.7,D,Pass
98,6,26,91,85,13,2.2,1.9,9.8,D,Fail
54,1,61,90,20,78,5.1,3.4,5.1,D,Fail
4,64,12,84,89,84,2.4,0.3,4.3,D,Fail
80,98,59,10,62,20,6.9,0.5,6.9,D,Fail
67,33,51,81,98,92,3.8,2.3,8.7,C,Pass
12,63,16,8,40,0,6.7,0.4,5.7,F,Fail
57,59,20,27,74,33,3.7,2.3,5.4,D,Fail
16,59,86,87,44,82,1.7,4.9,6.7,C,Fail
7,76,71,86,42,0,1.5,0.4,4.1,D,Fail
4,19,20,57,30,99,3.4,3.9,8.0,F,Fail
27,50,57,4,4,93,6.8,0.3,6.5,F,Fail
95,91,80,94,7,24,7.8,3.3,4.1,C,Fail
35,67,77,40,88,61,7.3,1.6,4.8,C,Pass
90,1,12,52,31,94,4.6,3.1,4.9,D,Fail
9,14,16,39,17,54,1.7,1.9,7.3,F,Fail
88,21,29,83,84,43,2.4,4.4,7.9,D,Fail
98,31,93,38,11,46,2.8,3.8,6.8,D,Fail
7,45,6,22,95,74,3.2,3.8,5.6,F,Fail
91,28,12,81,1,28,5.8,0.5,9.8,F,Fail
78,22,87,43,76,21,4.8,3.0,7.1,D,Fail
62,18,22,28,29,38,5.0,4.4,6.6,F,Fail
7,57,15,71,0,4,7.2,1.4,5.2,F,Fail
63,97,88,9,20,45,5.3,0.9,6.1,D,Fail
12,8,35,85,89,57,1.2,3.7,5.2,D,Fail
33,52,19,74,15,94,3.1,4.4,10.0,D,Fail
3,3,19,9,23,98,2.0,3.3,4.0,F,Fail
20,73,37,45,3,59,6.6,0.5,7.5,F,Fail
3,92,13,2,87,100,5.1,2.8,7.4,D,Fail
23,33,29,81,18,30,1.2,1.6,7.8,F,Fail
82,21,23,75,29,57,6.0,3.9,7.1,D,Fail
47,44,99,93,54,54,2.7,1.9,4.4,C,Pass
91,46,74,56,44,32,3.9,3.2,8.7,D,Fail
90,14,69,46,77,74,6.2,4.8,5.2,C,Fail
60,9,49,2,76,93,6.8,1.4,7.1,D,Fail
50,18,41,34,45,25,7.1,4.2,5.1,F,Fail
48,20,73,63,4,99,1.9,0.4,8.4,D,Fail
34,0,23,56,99,69,1.4,1.1,4.8,D,Fail
56,30,83,23,88,35,1.1,1.4,4.3,D,Fail
85,91,6,34,54,91,6.5,4.9,6.2,C,Fail
94,88,76,69,43,72,4.4,0.2,4.4,C,Pass
56,20,67,49,32,90,3.4,4.5,4.1,D,Fail
74,19,87,14,47,70,3.8,4.1,8.7,D,Fail
13,56,36,57,20,81,2.0,3.6,5.1,F,Fail
48,18,88,84,11,60,1.8,0.8,5.4,D,Fail
70,85,32,80,23,60,2.6,2.0,7.3,D,Fail
38,85,48,16,97,69,2.6,4.2,6.6,D,Fail
4,1,21,56,65,73,4.2,2.1,7.9,F,Fail
85,75,87,39,37,59,3.5,4.9,8.8,C,Pass
48,63,31,6,20,19,4.8,3.8,8.5,F,Fail
14,84,78,85,91,13,2.7,2.3,9.9,C,Fail
25,62,65,24,2,71,3.0,2.0,8.8,F,Fail
38,51,22,88,49,42,6.4,4.8,5.2,D,Fail
73,7,23,91,40,35,2.9,1.6,7.9,F,Fail
14,47,81,41,59,83,4.9,0.8,7.7,D,Fail
2,26,39,32,91,0,1.2,1.8,8.4,F,Fail
47,100,3,93,69,18,7.2,4.0,7.0,D,Fail
15,0,62,20,29,12,3.3,5.0,9.9,F,Fail
58,26,68,24,2,96,1.2,4.1,5.3,D,Fail
4,98,60,91,92,8,6.7,2.7,8.3,D,Fail
43,10,65,46,72,84,2.8,4.1,9.3,D,Fail
29,89,20,27,89,61,6.0,2.1,9.4,D,Fail
50,46,81,57,74,56,4.0,2.9,8.4,C,Pass
10,93,14,90,34,32,1.9,3.4,6.0,D,Fail
39,27,46,38,69,72,5.6,5.0,4.4,D,Fail
62,66,3,57,24,46,3.1,1.1,4.2,F,Fail
52,45,13,99,75,16,6.4,3.9,8.0,D,Fail
81,96,5,90,22,58,1.8,2.2,6.8,D,Fail
99,71,61,34,18,29,6.6,2.4,4.1,D,Fail
39,87,13,25,86,21,7.0,1.5,9.5,D,Fail
41,18,72,27,83,44,7.7,3.6,5.8,D,Fail
18,46,13,37,52,60,1.5,1.3,4.3,F,Fail
32,51,88,13,74,52,3.1,1.5,8.5,D,Fail
67,67,91,7,1,85,7.2,0.9,4.5,D,Fail
92,61,47,29,11,34,2.9,3.9,7.4,D,Fail
20,68,47,19,100,66,4.4,3.7,7.2,D,Fail
8,67,34,80,97,87,7.7,0.1,8.2,C,Fail
39,75,53,75,45,46,2.0,1.7,5.0,D,Pass
21,20,50,37,19,28,5.5,3.4,4.8,F,Fail
3,21,75,44,66,85,2.8,1.4,6.8,D,Fail
0,71,86,37,5,85,2.8,1.8,6.8,D,Fail
89,26,7,82,64,56,3.3,2.4,5.2,D,Fail
34,47,83,55,48,12,4.8,4.3,4.3,D,Fail
7,42,19,96,89,38,6.6,2.9,7.1,D,Fail
53,8,87,36,48,40,6.7,2.7,9.3,D,Fail
54,40,38,12,63,10,1.3,2.3,9.6,F,Fail
44,0,39,18,75,71,7.4,3.6,7.6,F,Fail
32,44,89,91,68,7,7.0,0.0,8.3,D,Fail
46,86,48,46,83,81,2.8,3.3,8.8,C,Pass
35,81,100,18,27,39,6.3,0.4,4.5,D,Fail
14,40,38,1,62,28,5.8,1.8,7.6,F,Fail
9,13,81,50,72,38,7.1,3.6,4.7,F,Fail
1,92,37,2,15,93,2.0,0.1,6.5,F,Fail
34,64,54,44,78,89,7.4,4.0,5.3,C,Pass
24,22,23,37,27,20,5.8,2.1,8.0,F,Fail
72,52,29,59,97,31,6.8,4.3,9.5,D,Fail
62,22,74,47,31,56,1.2,2.0,7.2,D,Fail
33,55,27,36,6,67,1.3,3.8,9.7,F,Fail
18,28,73,59,17,91,1.0,1.9,8.8,D,Fail
10,48,37,63,68,7,3.6,1.1,9.9,F,Fail
64,30,3,49,68,29,1.2,2.5,9.8,F,Fail
3,25,26,45,63,90,2.1,0.1,8.5,F,Fail
14,29,41,100,36,41,3.6,2.4,6.7,F,Fail
17,72,28,76,58,46,2.1,0.2,9.8,D,Fail
21,67,68,36,48,12,4.8,3.8,9.0,F,Fail
50,2,41,97,31,50,2.2,2.5,8.1,D,Fail
20,43,10,67,0,91,5.1,5.0,4.9,F,Fail
97,10,99,50,16,98,7.2,3.1,7.4,C,Fail
18,36,84,7,27,4,4.3,2.7,5.4,F,Fail
63,90,97,10,53,44,4.2,0.2,8.5,D,Fail
91,4,80,55,19,40,7.1,4.7,4.9,D,Fail
18,25,47,51,95,69,5.1,1.9,5.7,D,Fail
32,61,87,22,14,26,4.6,2.5,7.5,F,Fail
50,52,77,90,81,91,6.8,3.8,7.4,C,Pass
34,47,72,71,44,80,5.5,1.5,5.4,D,Pass
62,37,66,58,68,12,7.8,1.1,8.4,D,Fail
95,21,92,85,42,66,5.8,0.7,5.8,C,Fail
79,75,65,40,23,34,2.5,4.8,4.1,D,Fail
18,7,25,70,29,6,1.3,1.7,7.8,F,Fail
14,36,12,7,4,59,5.6,3.8,9.1,F,Fail
65,62,22,8,33,45,3.0,3.4,4.1,F,Fail
74,98,71,2,13,59,5.0,3.5,4.0,D,Fail
82,15,65,39,16,33,6.6,3.5,4.3,F,Fail
65,89,12,55,30,33,3.0,4.0,9.6,D,Fail
54,26,92,52,38,64,4.8,1.1,4.2,D,Fail
18,52,18,56,24,85,2.3,3.6,9.2,F,Fail
73,9,99,71,53,51,5.5,2.6,6.8,D,Fail
52,23,78,21,29,62,1.8,4.6,8.3,F,Fail
11,30,77,33,81,97,6.1,1.4,6.4,D,Fail
56,94,92,25,17,95,5.2,4.5,7.5,C,Fail
7,40,5,68,43,63,3.2,0.5,6.2,F,Fail
18,8,26,33,43,67,6.5,4.5,6.6,F,Fail
48,69,55,75,50,36,1.8,0.2,7.4,D,Pass
59,90,88,54,9,46,2.2,3.6,8.0,D,Fail
32,23,10,16,67,46,7.6,1.3,6.9,F,Fail
82,11,36,41,16,100,4.5,1.9,9.2,D,Fail
98,46,17,77,98,70,6.4,2.1,8.9,C,Fail
30,1,15,8,72,37,4.3,4.4,5.3,F,Fail
86,44,33,8,87,7,5.6,3.7,5.9,F,Fail
43,20,27,53,53,64,7.2,1.4,6.2,F,Fail
56,48,53,9,52,43,1.7,3.4,5.5,F,Fail
23,1,85,80,99,13,3.9,2.5,6.4,D,Fail
16,11,53,23,28,42,7.1,0.2,6.4,F,Fail
64,83,27,15,46,80,4.6,4.9,4.8,D,Fail
52,41,58,46,93,33,2.3,2.2,6.0,D,Pass
24,32,54,57,6,56,3.6,0.0,5.8,F,Fail
99,76,6,99,50,72,4.8,4.1,7.6,C,Fail
71,44,85,58,3,66,6.0,4.7,7.6,D,Fail
76,78,86,43,89,3,7.7,4.7,8.7,C,Fail
95,83,49,74,14,31,1.5,1.8,5.4,D,Fail
70,56,25,24,9,44,2.9,4.9,7.2,F,Fail
67,94,27,74,64,48,7.6,1.7,8.3,C,Fail
56,46,30,45,25,4,4.5,1.2,4.3,F,Fail
32,49,37,26,97,14,3.5,4.7,9.8,F,Fail
5,37,61,85,61,81,4.8,0.9,6.8,D,Fail
2,93,5,92,7,43,7.3,3.4,4.8,F,Fail
74,76,49,10,94,27,5.6,0.5,7.8,D,Fail
47,55,63,58,89,61,5.0,1.3,6.6,C,Pass
18,86,54,81,25,5,2.3,4.0,9.4,F,Fail
97,16,42,79,65,33,6.3,0.8,6.9,D,Fail
95,99,93,64,42,38,6.5,4.8,8.6,C,Pass
92,85,43,8,36,73,6.5,1.9,7.3,D,Fail
42,84,87,41,65,54,6.1,0.5,6.6,C,Pass
92,66,12,44,9,99,3.0,2.0,9.5,D,Fail
0,31,88,92,70,66,3.7,3.8,9.5,D,Fail
90,89,77,16,17,44,2.8,2.8,6.2,D,Fail
67,64,0,57,25,19,1.7,2.5,5.3,F,Fail
4,64,16,21,97,40,7.7,2.9,6.6,F,Fail
50,20,98,75,25,18,2.0,2.2,9.4,D,Fail
25,39,4,20,77,3,6.8,4.4,7.3,F,Fail
92,7,40,18,45,27,5.5,1.8,5.8,F,Fail
98,36,0,66,23,26,6.9,1.7,8.2,F,Fail
23,23,3,66,33,56,4.2,0.2,5.7,F,Fail
68,94,52,61,40,56,5.1,0.3,6.2,C,Pass
56,9,39,6,37,84,3.1,1.2,4.0,F,Fail
46,67,91,75,37,35,6.2,4.2,6.5,D,Pass
49,29,61,100,24,26,2.9,0.6,6.0,D,Fail
46,99,38,15,21,84,4.8,0.7,6.3,D,Fail
30,41,73,31,58,33,6.5,2.9,9.7,F,Fail
9,85,16,67,47,51,5.4,0.6,7.4,D,Fail
64,62,88,50,35,80,7.5,4.1,8.2,C,Pass
95,38,69,0,22,38,7.0,1.7,4.2,F,Fail
40,92,72,12,69,5,5.7,0.8,4.7,D,Fail
48,75,46,54,63,64,3.2,2.4,7.0,D,Pass
95,67,17,82,42,34,1.1,3.5,9.8,D,Fail
60,3,87,58,28,82,5.9,2.7,7.2,D,Fail
64,68,26,79,5,12,7.7,3.6,9.7,F,Fail
79,42,73,88,19,94,3.2,1.5,9.2,C,Fail
56,100,71,6,77,55,7.5,4.3,9.9,C,Fail
50,81,79,71,96,11,3.0,1.5,6.1,C,Fail
16,5,96,4,56,27,3.8,0.3,8.7,F,Fail
61,49,18,85,68,65,2.4,1.9,9.9,D,Fail
83,53,6,78,86,13,6.5,3.9,7.6,D,Fail
19,28,23,81,62,73,7.4,0.1,6.7,D,Fail
73,16,65,5,57,68,7.9,2.8,5.1,D,Fail
83,40,48,90,48,75,1.5,3.0,7.1,C,Pass
34,79,1,23,73,37,7.8,3.0,4.5,F,Fail
28,19,90,40,53,19,5.2,3.1,7.9,F,Fail
29,52,33,21,66,5,2.8,3.4,8.2,F,Fail
47,69,58,99,58,1,7.1,4.7,4.6,D,Fail
9,52,78,58,21,50,7.2,1.0,7.5,F,Fail
97,29,24,27,64,44,5.1,1.3,6.7,D,Fail
0,9,35,72,45,31,5.7,4.9,4.6,F,Fail
26,53,49,34,84,24,4.0,1.3,6.6,D,Fail
72,26,25,18,91,16,4.8,3.4,8.2,F,Fail
39,38,22,95,51,46,1.2,1.8,4.1,D,Fail
42,47,33,39,74,60,4.0,1.1,7.6,D,Pass
